pageTitle,pageContent
ATA101 - Atatürk İlkeleri ve İnkılap Tarihi I - Eğitim Bilgi Sistemi,"






Hafta
Konu
Öğretim Metodu




1
Osmanlı Dönemi'nde Modernleşme Çabaları (III. Selim Dönemi ve Islahatlar, II. Mahmud Dönemi Değişim ve Dönüşüm Hareketleri)




2
Tanzimat Dönemi (Sultan Abdülmecid Dönemi ve Gülhane Hatt-ı Humayunu, Islahat Fermanı, Sultan Abdülaziz Dönemi ve Yeni Osmanlılar Hareketi)




3
Hafta: Meşrutiyet Dönemi (I. Meşrutiyet'in İlanı ve Kanun-i Esasi, II. Meşrutiyet'in İlanı)




4
Trablusgarp Savaşı (Traslusgarp Savaşı ve Uşi Antlaşması)




5
Balkan Savaşları (I. Balkan Savaşı’nın Başlaması ve Londra Antlaşması; II. Balkan Savaşı)




6
I. Dünya Savaşı ve Cepheler-I (Avrupa'da Kutuplaşma, Osmanlı Devleti'nin Savaşa Girişi, Kafkas-Irak ve Kanal Cepheleri)




7
I. Dünya savaşı ve Cepheler-II (Çanakkale Cephesi-Deniz ve Kara Savaşları-Avrupa Cepheleri-Dobruca ve Galiçya Cepheleri-Güney Cephesi-Hicaz, Yemen ve Suriye Cepheleri)




8
ARA SINAV 




9
Birinci Dünya Savaşı'nda Osmanlı Devleti'nin Paylaşılma Planları Ve Mondros Ateşkes Antlaşması (I. Dünya Savaşı'nın Sonuçları, Mondros Ateşkes Antlaşması)




10
Anadolu'da Kurulan Cemiyetler, Mustafa Kemal'in İstanbul'a Gelişi Buradaki Faaliyetleri Ve Anadolu'ya Geçişi (Anadolu'nun Durumu, Azınlıklar Tarafından Kurulan Zararlı Cemiyetler, Türkler Tarafından Kurulan Zararlı Cemiyetler, Yararlı Cemiyetler, Mustafa Kemal'in İstanbul'a Gelişi ve Buradaki Faaliyetleri, İzmir'in İşgali, Mustafa Kemal'in İstanbul'dan Anadolu'ya Geçişi)




11
Milli Mücadele’ye Hazırlık Safhası-I (Mustafa Kemal'in Samsun'a Çıkışı, Erzurum'a Giden Yolda İlk Durak: Havza, Amasya Genelgesi ve Erzurum Kongresi)




12
Milli Mücadele’ye Hazırlık Safhası-II (Balıkesir Kongresi, Alaşehir Kongresi, Sivas Kongresi, Amasya Görüşmeleri)




13
Son Osmanlı Mebusan Meclisi'nin Açılışı Ve Sonrasındaki Gelişmeler (Temsil Heyeti'nin Ankara'ya Gelişi, Son Osmanlı Mebusan Meclisi'nin Açılışı, Misak-ı Milli Kararları, İstanbul'un İşgali)




14
Türkiye Büyük Millet Meclisi’nin Açılışı (Türkiye Büyük Millet Meclisi'nin açılışı ve Meclis'in özellileri, Meclis'in açılmasıyla birlikte baş gösteren isyanlar, Milli Mücadele Döneminde Çıkan İsyanlar)








"
BM101 - Bilgisayar Mühendisliğine Giriş - Eğitim Bilgi Sistemi,"






Hafta
Konu
Öğretim Metodu




1
Bilgisayar Mühendisliği Tanıtımı

Ders
Tartışmalı Ders



2
Algoritma ve Akış Şemaları

Ders
Tartışmalı Ders



3
Bool Cebiri

Ders
Tartışmalı Ders



4
Programlama Dilleri

Ders
Tartışmalı Ders



5
İşletim Sistemleri	

Ders
Tartışmalı Ders



6
Bilgisayar Ağları

Ders
Tartışmalı Ders



7
Sayı ve Kodlama Sistemleri

Ders
Tartışmalı Ders



6
Bilgisayar Donanımı




9
Veritabanı Yönetimi ve SQL

Ders
Tartışmalı Ders



10
Mikroişlemciler ve Assembly Programlama

Ders
Tartışmalı Ders



11
Veri Yapıları ve Veri Modelleri

Ders
Tartışmalı Ders



12
Yapay Zeka

Ders
Tartışmalı Ders



13
Yazılım Mühendisliği

Ders
Tartışmalı Ders



14
Ayrık Matematiğin Temelleri

Ders
Tartışmalı Ders







"
BM103 - Bilgisayar Programlama I - Eğitim Bilgi Sistemi,"






Hafta
Konu
Öğretim Metodu




1
Temel kavramlar

Ders



2
Algoritma ve Programlamaya Giriş

Ders



3
Akış Diyagramları

Ders



4
 Kaba Kodlar 

Ders



5
C Programlama Dili ve C Derleyici Yapısı

Ders



6
Değişken ve dizi tanımlama; sabit, tam sayı sabitleri kesirli sayı sabitleri, dizgi sabitleri

Ders



7
Algoritma çalıştırma, sayı sistemleri, veri işleme

Ders



8
Kontrol yapıları

Ders



9
Döngüler

Ders



10
Genel Uygulamalar

Ders



11
Fonksiyonlar ve Alt Programlama

Ders



12
Tek Boyutlu Diziler ve Uygulamaları

Ders



13
Çok Boyutlu Diziler ve Uygulamaları

Ders



14
Güncel Algoritma Örnekleri

Ders







"
ENG101 - İngilizce I - Eğitim Bilgi Sistemi,"






Hafta
Konu
Öğretim Metodu




1
Alfabe, Sayılar, Renkler, Selamlamalar




2
Be fiili, tekil çoğul isimlerle kullanımı, kişi zamirleri




3
Be fiili - sıfatla kullanımı, soru sorma




4
Aitlik bildiren fiiller, sıfat ve zamirler




5
İşaret sıfatları




6
Geniş zaman, temel kullanımı, sıklık zarfları




7
Geniş zaman II - düzensiz fiiller, olumsuz ve soru formu




8
Ara sınav




9
Şimdiki zaman - olumlu, olumsuz, soru




10
Geniş zaman-Şimdiki zaman, eylem-durum bildiren fiiller




11
There kalıbı, yer edatları




12
Tekil-çoğul isimler, Zamirler




13
Sayılabilen ve sayılamayan isimler




14
Nicelik sıfatları








"
FIZ101 - Fizik I - Eğitim Bilgi Sistemi,"






Hafta
Konu
Öğretim Metodu




1
Fizik ve ölçme




2
Vektörler




3
1 boyutta hareket




3
Bir boyutta hareket




4
2 boyutta hareket




3
İki boyutta hareket




5
Hareket kanunları




6
Dairesel hareket ve Newton kanunlarının diğer uygulamaları




7
İş ve kinetik enerji




7
İş ve Enerji




8
Ara Sınav - Potansiyel enerji ve enerjinin korunumu




8
Potansiyel enerji ve enerjinin korunumu




9
Çizgisel momentum ve çarpışmalar




9
Doğrusal momentum ve çarpışmalar




10
Katı bir cismin sabit bir eksen etrafında dönmesi




11
Yuvarlanma ve açısal momentum




11
Yuvarlanma hareketi, açısal momentum ve tork




12
Statik denge ve esneklik




12
Statik denge ve elastisite




13
Titreşim hareketi




14
Evrensel çekim yasası




14
Evrensel çekim kanunu








"
MAT101 - Matematik I - Eğitim Bilgi Sistemi,"






Hafta
Konu
Öğretim Metodu




1
Sayı Kümeleri (Tamsayılar, Doğal Sayılar, Rasyonel Sayılar, Reel Sayılar) ve işlem önceliği

Ders



2
Üslü Sayılar, Köklü Sayılar ve Mutlak Değer

Ders



3
Birinci dereceden lineer denklemlerin ve eşitsizliklerin çözümü

Ders



4
İkinci dereceden denklemlerin ve eşitsizliklerin çözümü

Ders



5
Fonksiyonun tanımı ve bazı özel fonksiyon türleri ve grafiklerin çizimi

Ders



6
Bileşke fonksiyon, ters fonksiyon özellikleri ve fonksiyonlarda cebirsel işlemler

Ders



7
Ara sınava hazırlık, konu tekrarı ve uygulama

Ders



8
Ara Sınavlar, genel değerlendirme ve sınav sorularının çözümü

Ders



9
Limit kavramı ve uygulamaları

Ders



10
Bir fonksiyonun sürekliliği, süreksizlik kavramı ve çeşitleri, fonksiyonlardaki süreklilik uygulamaları

Ders



11
Türev kavramı, ortalama değişim ve türevin geometrik yorumu 

Ders



12
Kritik nokta, artanlık, azalanlık, dönüm noktası, konvekslik, konkavlık

Ders



12
Bazı temel türev alma kuralları

Ders



13
Diferensiyeller ve eğri çizimleri (Kartezyen koordinat sisteminde çizimler)

Ders



14
Fonksiyonlarda grafik çizimleri

Ders







"
MAT103 - Lineer Cebir - Eğitim Bilgi Sistemi,"






Hafta
Konu
Öğretim Metodu




1
Doğrusal denklem sistemlerine giriş ve çözüm kümeleri.




2
Eşdeğer doğrusal denklem sistemleri. Pivot elemanlar.




3
Çözüm kümesinin bulunması:  Gauss yoketme yöntemi ve geriye doğru yerine koyma metodu. Bir Matrisin basamak formu.




4
Matrisler. Elemanter satır işlemleri. Satır basamak form.




5
Matris cebri.




6
Determinant kavramı ve özellikleri. Kramer kuralı.




7
Matris tersi hesabı.

Ders



8
Vektör uzayları ve alt uzaylar./ARASINAV.




9
Bir matrisin rank'ı ve sıfırlığı. Homojen olmayan bir sistemin çözüm kümesinin tanımlanması.




10
Bir vektör uzayının germe çatısı. Homojen lineer denklem sistemleri.




11
Baz değiştirme.




12
İç çarpım uzayları. Gram-Schmidt işlemi.




13
Özdeğer ve özvektörler. Dikleştirme




14
İnceleme ve problemler.

Ders







"
TRK101 - Türk Dili I - Eğitim Bilgi Sistemi,"






Hafta
Konu
Öğretim Metodu




1
Dil nedir? Dilin sosyal hayattaki rolü ve önemi. Dil ve kültür arasındaki ilişki.




2
Yeryüzündeki diller ve dil türleri




3
Türk dilinin tarihi gelişimi.




4
Türklerin kullandığı başlıca alfabeler ve Türk dilinin bugünkü durumu.




5
Türkçede sesler ve Türkçenin ses özellikleri (Fonetik)




6
Kelime Bilgisi (Morfoloji).




7
Cümle bilgisi (Sözdizimi).




8
Ara Sınav - Yazım Kuralları - I.




9
Yazım Kuralları - II.




10
Noktalama işaretleri- I.




11
Noktalama işaretleri- II.




12
Anlatım bozuklukları - I.




13
Anlatım bozuklukları - II.




14
Türkçenin güncel sorunları.








"
TOS190 - Akademik Türkçe - Eğitim Bilgi Sistemi,"






Hafta
Konu
Öğretim Metodu




1
Türkçenin temel kuralları: Metinler ile yazım hataları ve noktalama çalışmaları	

Ders
Tartışmalı Ders
Problem Çözme



1
Türkçenin temel kuralları: Metinler ile yazım hataları ve noktalama çalışmaları	

Ders
Tartışmalı Ders
Problem Çözme



3
Türkçe metinler ile okuma ve anlama çalışması: Not alma, özet çıkarma, örneklendirme	

Ders
Tartışmalı Ders
Problem Çözme
Vaka Çalışması



3
Türkçe metinler ile okuma ve anlama çalışması: Not alma, özet çıkarma, örneklendirme	

Ders
Tartışmalı Ders
Problem Çözme
Vaka Çalışması



3
Türkçe metinler ile okuma ve anlama çalışması: Not alma, özet çıkarma, örneklendirme	

Ders
Tartışmalı Ders
Problem Çözme
Vaka Çalışması



6
Türkçe metin oluşturma: Belli bir görüşe karşıt veya yandaş olarak bilimsel gerekçeler ve karşı gerekçelerle ilgili yazı yazma	

Ders
Tartışmalı Ders
Problem Çözme
Vaka Çalışması



6
Türkçe metin oluşturma: Belli bir görüşe karşıt veya yandaş olarak bilimsel gerekçeler ve karşı gerekçelerle ilgili yazı yazma	

Ders
Tartışmalı Ders
Problem Çözme
Vaka Çalışması



8
Ara Sınav

Ders
Tartışmalı Ders
Problem Çözme
Vaka Çalışması



9
Türkçe metinler ile okuma, anlama ve yazma çalışmaları: Özetleme, gerekçelendirme, açıklama yapma	

Ders
Tartışmalı Ders
Problem Çözme
Vaka Çalışması



9
Türkçe metinler ile okuma, anlama ve yazma çalışmaları: Özetleme, gerekçelendirme, açıklama yapma	

Ders
Tartışmalı Ders
Problem Çözme
Vaka Çalışması



11
Türkçe metinler ile okuma, anlama ve yazma çalışmaları: Doğrudan ve dolaylı anlatım yapma, çözümleme çıkarım yapma	

Ders
Tartışmalı Ders
Problem Çözme
Vaka Çalışması



12
Akademik metin hazırlama: Sunum ve seminer	

Tartışmalı Ders
Vaka Çalışması
Gösterim
Seminer



13
Akademik metin hazırlama: Rapor oluşturma	

Tartışmalı Ders
Vaka Çalışması
Gösterim
Seminer



14
Akademik metin hazırlama: Proje oluşturma	

Tartışmalı Ders
Vaka Çalışması
Gösterim
Seminer







"
ATA102 - Atatürk İlkeleri ve İnkılap Tarihi II - Eğitim Bilgi Sistemi,"






Hafta
Konu
Öğretim Metodu




1
Sevr Antlaşması (Paris Barış Konferansı, Londra Konferansı, San-Remo Konferansı, Sevr Antlaşması ve Sevr Antlaşması'na Karşı Tepkiler)




2
Milli Mücadele Döneminde Cepheler ve Savaş (Milli Mücadele'nin Kaynakları, Doğu Cephesi (Osmanlı Devleti ve Ermeniler), Ermenilerle Savaş ve Gümrü Antlaşması, Milli Mücadele Dönemi'nde Türk-Sovyet İlişkileri (Moskova ve Kars Antlaşmaları)




3
Güney Cephesi (Maraş, Antep, Urfa ve Adana Savunmaları)




4
Batı Cephesi I (Yunan İşgalleri, Kuva-yı Milliye'den Düzenli Ordu'ya Geçiş, I. İnönü Muharebesi, Londra Konferansı, II. İnönü Muharebesi)




5
Batı Cephesi II (Eskişehir Kütahya Savaşları, Başkomutanlık Yasası, Tekalif-i Milliye Emirleri, Büyük Taarruz, Mudanya Mütarekesi)




6
Lozan Barış Konferansı (Lozan Konferansı’nda Görüşülen Meseleler)




7
Atatürk İlkeleri Milliyetçilik, Halkçılık, İnkılapçılık, Cumhuriyetçilik, Laiklik, Devletçilik, Bütünleyici İlkeler




8
ARA SINAV




9
Atatürk İnkılapları I (Siyasi Alanda Yapılan İnkılaplar, Hukuk Alanında Yapılan İnkılaplar)




10
Atatürk İnkılapları II (Ekonomi, Eğitim ve Sosyal Alanlarda Yapılan İnkılaplar (Şapka Kanunu, Tekke, Zaviye ve Türbelerin Kapatılması, Soyadı Kanunu'nun Kabulü, Uluslararası Saat, Takvim, Rakam ve Ölçü Birimlerinin Kabul Edilmesi, Tevhid-i Tedrisat Kanunu, Harf ve Türk Dili İnkılabı, Üniversitelerin Gelişimi)




11
Çok Partili Hayata Geçiş Denemeleri ve Takrir-i Sükûn Dönemi (Cumhuriyet Halk Fırkası, Terakkiperver Cumhuriyet Fırkası, Serbest Cumhuriyet Fırkası, Şeyh Sait İsyanı, İzmir Suikastı, Menemen Olayı)




12
Atatürk Dönemi Dış Politikası (1923-1932) (Türk-İngiliz İlişkileri, Türk-Yunan İlişkileri, Türk-Sovyet İlişkileri, Türk-Fransız İlişkileri, Türk-İtalyan İlişkileri, Türkiye’nin İslam Ülkeleriyle İlişkileri)




13
Atatürk Dönemi Dış politikası (1932-1938)  (Türkiye’nin Milletler Cemiyeti’ne Girişi, Balkan antantı, Sadabat Paktı, Montrö Boğazlar Sözleşmesi, Hatay Meselesi)




14
İsmet İnönü Dönemi ve Çok Partili Hayata Geçiş (1938-1945) (II. Dünya Savaşı Sürecinde Türk Dış Politikası, II. Dünya Savaşı Döneminde Türkiye’de Siyasi, Ekonomik ve Sosyal Gelişmeler, Çok Partili Hayata Geçiş)








"
